"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"#realDonaldTrump https://t.co/oYBfcWJ4oF",FALSE,0,NA,2019-09-28 13:53:57,FALSE,NA,"1177944538985435136",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bm029444",0,FALSE,FALSE,NA,NA
"#realDonaldTrump https://t.co/AFy1mz7FEl",FALSE,0,NA,2019-09-28 13:52:34,FALSE,NA,"1177944190472392704",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bm029444",0,FALSE,FALSE,NA,NA
"@Rep_Watkins where’s your help on this.? Tyson plant fire <U+0001F525> needs investigated  Ranchers are hurting.… https://t.co/bgyw7bTldv",FALSE,3,"Rep_Watkins",2019-09-28 13:48:15,TRUE,NA,"1177943104491524098","1080307235350241280","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Timjohnson2696",2,FALSE,FALSE,NA,NA
"#realDonaldTrump https://t.co/VX0DcTFSbA",FALSE,0,NA,2019-09-28 13:47:11,FALSE,NA,"1177942835275939841",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAChamberz",0,FALSE,FALSE,NA,NA
"#realDonaldTrump https://t.co/Aa6V1XrOHT",FALSE,0,NA,2019-09-28 13:45:22,FALSE,NA,"1177942378361044993",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAChamberz",0,FALSE,FALSE,NA,NA
"@JudgeJeanine Who set it up?  Seems that #realDonaldTrump set this one up all by himself.  Your ""judgement"" is fading.",FALSE,0,"JudgeJeanine",2019-09-28 13:40:56,FALSE,"1177633823531716608","1177941259933102081","29458079","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","jerryspurbeck",0,FALSE,FALSE,NA,NA
"RT @WhyManish: <U+091C><U+093F><U+0938> <U+0926><U+0947><U+0936> <U+0928><U+0947> <U+0915><U+092D><U+0940> <U+091C><U+093F><U+0938> <U+092E><U+0941><U+0916><U+094D><U+092F><U+092E><U+0902><U+0924><U+094D><U+0930><U+0940> <U+0915><U+093E> <U+0935><U+0940><U+0938><U+093E> <U+0938><U+094D><U+0935><U+0940><U+0915><U+093E><U+0930> <U+0928><U+0939><U+0940> <U+0915><U+093F><U+092F><U+093E> <U+0925><U+093E>,<U+0906><U+091C> <U+092E><U+0941><U+0916><U+094D><U+092F><U+092E><U+0902><U+0924><U+094D><U+0930><U+0940> <U+0938><U+0947> <U+0905><U+092C> <U+0926><U+094B><U+092C><U+093E><U+0930><U+093E> <U+0905><U+092A><U+093E><U+0930> <U+092C><U+0939><U+0941><U+092E><U+0924> <U+0938><U+0947> <U+091A><U+0941><U+0928> <U+0915><U+0930> <U+0906><U+092F><U+0947> <U+0932><U+094B><U+0915><U+092A><U+094D><U+0930><U+093F><U+092F> <U+091C><U+0928>…",FALSE,0,NA,2019-09-28 13:38:36,FALSE,NA,"1177940675234385921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","its_ajeet_",5,TRUE,FALSE,NA,NA
"With all the information about the depth of the cover-ups at the White House, it sheds new light on the people who… https://t.co/s8Qaggi6ry",FALSE,0,NA,2019-09-28 13:37:22,TRUE,NA,"1177940362868019201",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BobRazler",0,FALSE,FALSE,NA,NA
"RT @WhyManish: <U+091C><U+093F><U+0938> <U+0926><U+0947><U+0936> <U+0928><U+0947> <U+0915><U+092D><U+0940> <U+091C><U+093F><U+0938> <U+092E><U+0941><U+0916><U+094D><U+092F><U+092E><U+0902><U+0924><U+094D><U+0930><U+0940> <U+0915><U+093E> <U+0935><U+0940><U+0938><U+093E> <U+0938><U+094D><U+0935><U+0940><U+0915><U+093E><U+0930> <U+0928><U+0939><U+0940> <U+0915><U+093F><U+092F><U+093E> <U+0925><U+093E>,<U+0906><U+091C> <U+092E><U+0941><U+0916><U+094D><U+092F><U+092E><U+0902><U+0924><U+094D><U+0930><U+0940> <U+0938><U+0947> <U+0905><U+092C> <U+0926><U+094B><U+092C><U+093E><U+0930><U+093E> <U+0905><U+092A><U+093E><U+0930> <U+092C><U+0939><U+0941><U+092E><U+0924> <U+0938><U+0947> <U+091A><U+0941><U+0928> <U+0915><U+0930> <U+0906><U+092F><U+0947> <U+0932><U+094B><U+0915><U+092A><U+094D><U+0930><U+093F><U+092F> <U+091C><U+0928>…",FALSE,0,NA,2019-09-28 13:37:21,FALSE,NA,"1177940357817880577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","its_rohit_",5,TRUE,FALSE,NA,NA
"DOUBLE STANDARD:  Obama Administration asked Ukraine to investigate Paul Manafort https://t.co/PoB2QItaRh… https://t.co/HhIjBMQMk9",FALSE,0,NA,2019-09-28 13:37:00,TRUE,NA,"1177940273025949696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yportbill",0,FALSE,FALSE,NA,NA
